Date,Time,"CPU Package Power [W]",
23.4.2025,16:16:48.444,52.242,
23.4.2025,16:16:48.477,52.242,
23.4.2025,16:16:48.509,54.226,
23.4.2025,16:16:48.541,54.226,
23.4.2025,16:16:48.580,51.678,
23.4.2025,16:16:48.611,51.678,
23.4.2025,16:16:48.651,51.678,
23.4.2025,16:16:48.684,53.042,
23.4.2025,16:16:48.716,53.042,
23.4.2025,16:16:48.755,53.269,
23.4.2025,16:16:48.786,53.269,
23.4.2025,16:16:48.826,53.269,
23.4.2025,16:16:48.857,53.269,
23.4.2025,16:16:48.889,53.269,
23.4.2025,16:16:48.914,52.814,
23.4.2025,16:16:48.959,52.814,
23.4.2025,16:16:48.992,52.814,
23.4.2025,16:16:49.024,52.814,
23.4.2025,16:16:49.056,52.814,
23.4.2025,16:16:49.093,53.330,
23.4.2025,16:16:49.126,53.330,
23.4.2025,16:16:49.158,53.330,
23.4.2025,16:16:49.189,53.330,
23.4.2025,16:16:49.221,57.268,
23.4.2025,16:16:49.253,57.268,
23.4.2025,16:16:49.284,57.268,
23.4.2025,16:16:49.315,57.268,
23.4.2025,16:16:49.347,63.286,
23.4.2025,16:16:49.380,63.286,
23.4.2025,16:16:49.411,64.766,
23.4.2025,16:16:49.445,64.766,
23.4.2025,16:16:49.474,64.766,
23.4.2025,16:16:49.506,64.766,
23.4.2025,16:16:49.538,64.766,
23.4.2025,16:16:49.569,73.142,
23.4.2025,16:16:49.601,73.142,
23.4.2025,16:16:49.633,73.142,
23.4.2025,16:16:49.664,73.142,
23.4.2025,16:16:49.696,73.142,
23.4.2025,16:16:49.728,73.142,
23.4.2025,16:16:49.759,67.454,
23.4.2025,16:16:49.791,67.454,
23.4.2025,16:16:49.823,67.454,
23.4.2025,16:16:49.855,67.454,
23.4.2025,16:16:49.891,57.592,
23.4.2025,16:16:49.923,57.592,
23.4.2025,16:16:49.955,57.592,
23.4.2025,16:16:49.986,57.592,
23.4.2025,16:16:50.018,57.592,
23.4.2025,16:16:50.049,53.195,
23.4.2025,16:16:50.081,53.195,
23.4.2025,16:16:50.113,53.195,
23.4.2025,16:16:50.145,53.195,
23.4.2025,16:16:50.176,53.195,
23.4.2025,16:16:50.208,53.195,
23.4.2025,16:16:50.239,50.937,
23.4.2025,16:16:50.270,50.937,
23.4.2025,16:16:50.302,50.937,
23.4.2025,16:16:50.333,50.937,
23.4.2025,16:16:50.365,50.937,
23.4.2025,16:16:50.397,50.937,
23.4.2025,16:16:50.418,55.737,
23.4.2025,16:16:50.450,55.737,
23.4.2025,16:16:50.482,55.737,
23.4.2025,16:16:50.508,55.737,
23.4.2025,16:16:50.544,53.774,
23.4.2025,16:16:50.576,53.774,
23.4.2025,16:16:50.607,53.774,
23.4.2025,16:16:50.639,53.774,
23.4.2025,16:16:50.670,53.774,
23.4.2025,16:16:50.702,53.774,
23.4.2025,16:16:50.733,66.400,
23.4.2025,16:16:50.765,66.400,
23.4.2025,16:16:50.797,66.400,
23.4.2025,16:16:50.828,56.908,
23.4.2025,16:16:50.860,56.908,
23.4.2025,16:16:50.891,56.908,
23.4.2025,16:16:50.929,56.908,
23.4.2025,16:16:50.964,56.908,
23.4.2025,16:16:50.996,58.248,
23.4.2025,16:16:51.027,58.248,
23.4.2025,16:16:51.060,58.248,
23.4.2025,16:16:51.092,58.248,
23.4.2025,16:16:51.127,58.248,
23.4.2025,16:16:51.159,60.279,
23.4.2025,16:16:51.191,60.279,
23.4.2025,16:16:51.222,60.279,
23.4.2025,16:16:51.254,60.279,
23.4.2025,16:16:51.285,60.279,
23.4.2025,16:16:51.317,53.632,
23.4.2025,16:16:51.349,53.632,
23.4.2025,16:16:51.381,53.632,
23.4.2025,16:16:51.413,53.632,
23.4.2025,16:16:51.445,53.632,
23.4.2025,16:16:51.480,52.661,
23.4.2025,16:16:51.512,52.661,
23.4.2025,16:16:51.544,52.661,
23.4.2025,16:16:51.575,52.661,
23.4.2025,16:16:51.608,52.661,
23.4.2025,16:16:51.640,53.395,
23.4.2025,16:16:51.672,53.395,
23.4.2025,16:16:51.704,52.712,
23.4.2025,16:16:51.735,52.712,
23.4.2025,16:16:51.767,52.712,
23.4.2025,16:16:51.799,51.547,
23.4.2025,16:16:51.831,51.547,
23.4.2025,16:16:51.863,51.547,
23.4.2025,16:16:51.895,50.049,
23.4.2025,16:16:51.927,52.413,
23.4.2025,16:16:51.959,52.413,
23.4.2025,16:16:51.991,52.413,
23.4.2025,16:16:52.023,51.781,
23.4.2025,16:16:52.055,51.781,
23.4.2025,16:16:52.087,51.781,
23.4.2025,16:16:52.119,50.711,
23.4.2025,16:16:52.151,52.459,
23.4.2025,16:16:52.192,52.459,
23.4.2025,16:16:52.223,52.459,
23.4.2025,16:16:52.250,54.356,
23.4.2025,16:16:52.286,54.356,
23.4.2025,16:16:52.318,54.356,
23.4.2025,16:16:52.349,52.523,
23.4.2025,16:16:52.381,52.523,
23.4.2025,16:16:52.413,53.317,
23.4.2025,16:16:52.445,53.317,
23.4.2025,16:16:52.477,52.482,
23.4.2025,16:16:52.509,52.482,
23.4.2025,16:16:52.540,52.482,
23.4.2025,16:16:52.572,59.568,
23.4.2025,16:16:52.603,59.568,
23.4.2025,16:16:52.635,59.568,
23.4.2025,16:16:52.667,59.568,
23.4.2025,16:16:52.699,50.487,
23.4.2025,16:16:52.730,50.487,
23.4.2025,16:16:52.762,52.193,
23.4.2025,16:16:52.793,52.193,
23.4.2025,16:16:52.825,52.002,
23.4.2025,16:16:52.857,52.002,
23.4.2025,16:16:52.888,52.002,
23.4.2025,16:16:52.920,50.961,
23.4.2025,16:16:52.952,50.961,
23.4.2025,16:16:52.983,50.961,
23.4.2025,16:16:53.015,49.824,
23.4.2025,16:16:53.047,51.266,
23.4.2025,16:16:53.078,51.266,
23.4.2025,16:16:53.110,51.266,
23.4.2025,16:16:53.141,51.266,
23.4.2025,16:16:53.173,51.266,
23.4.2025,16:16:53.205,49.233,
23.4.2025,16:16:53.236,49.233,
23.4.2025,16:16:53.268,49.233,
23.4.2025,16:16:53.300,49.233,
23.4.2025,16:16:53.331,49.233,
23.4.2025,16:16:53.363,52.485,
23.4.2025,16:16:53.394,52.485,
23.4.2025,16:16:53.426,52.485,
23.4.2025,16:16:53.457,52.485,
23.4.2025,16:16:53.489,52.485,
23.4.2025,16:16:53.520,52.485,
23.4.2025,16:16:53.552,53.136,
23.4.2025,16:16:53.584,53.136,
23.4.2025,16:16:53.615,53.136,
23.4.2025,16:16:53.647,53.136,
23.4.2025,16:16:53.679,53.136,
23.4.2025,16:16:53.711,53.136,
23.4.2025,16:16:53.742,53.695,
23.4.2025,16:16:53.774,53.695,
23.4.2025,16:16:53.806,53.695,
23.4.2025,16:16:53.838,53.695,
23.4.2025,16:16:53.869,53.695,
23.4.2025,16:16:53.901,52.542,
23.4.2025,16:16:53.933,52.542,
23.4.2025,16:16:53.964,52.542,
23.4.2025,16:16:53.996,52.542,
23.4.2025,16:16:54.028,52.542,
23.4.2025,16:16:54.059,52.542,
23.4.2025,16:16:54.091,52.608,
23.4.2025,16:16:54.122,52.608,
23.4.2025,16:16:54.154,50.691,
23.4.2025,16:16:54.186,50.691,
23.4.2025,16:16:54.217,50.691,
23.4.2025,16:16:54.249,49.629,
23.4.2025,16:16:54.281,49.629,
23.4.2025,16:16:54.313,49.629,
23.4.2025,16:16:54.345,50.850,
23.4.2025,16:16:54.376,50.546,
23.4.2025,16:16:54.408,50.546,
23.4.2025,16:16:54.439,50.546,
23.4.2025,16:16:54.471,61.588,
23.4.2025,16:16:54.503,61.588,
23.4.2025,16:16:54.535,61.588,
23.4.2025,16:16:54.567,54.150,
23.4.2025,16:16:54.599,56.183,
23.4.2025,16:16:54.631,56.183,
23.4.2025,16:16:54.662,56.183,
23.4.2025,16:16:54.694,53.298,
23.4.2025,16:16:54.726,53.298,
23.4.2025,16:16:54.757,53.298,
23.4.2025,16:16:54.789,53.298,
23.4.2025,16:16:54.821,43.234,
23.4.2025,16:16:54.853,43.234,
23.4.2025,16:16:54.885,43.234,
23.4.2025,16:16:54.916,43.234,
23.4.2025,16:16:54.948,43.234,
23.4.2025,16:16:54.980,43.234,
23.4.2025,16:16:55.011,53.336,
23.4.2025,16:16:55.043,53.336,
23.4.2025,16:16:55.075,53.336,
23.4.2025,16:16:55.106,53.336,
Date,Time,"CPU Package Power [W]",
,,CPU [#0]: AMD Ryzen 5 5600X: Enhanced,
